"CFR";"loa"
11453;10.48
11454;12.2
11455;6.11
11456;7.5
11457;27.2
11458;13.95
11459;6.91
1146;5.62
11460;9.86
11461;7.61
11462;5.67
11463;6.48
11464;8.85
11465;11.85
11466;11.1
11467;4.1
11468;6.92
11469;8.03
1147;7.92
11470;7.205
11471;9
11472;12.02
11473;9.25
11474;24.37
11475;9.69
11476;11.45
11477;12
11478;6.5
11479;6.15
1148;6.7
11480;7.81
11481;6.47
11482;5.6
11483;7.05
11485;5.27
11486;13.28
11487;17.8
11488;4.52
11489;6.3
1149;9.84
11490;16.8
11491;6.47
11492;6.25
11494;5.55
11495;6.44
11496;6.27
11497;6.35
11498;8.65
11499;10.8
115;4.4
1150;17.12
11500;6.6
11501;6.4
11502;8.71
11503;6.25
11504;7.6
11505;9.16
11506;6.5
11507;12.5575
11508;9.16
11509;8
1151;23.24
11510;8
11511;5.75
11512;6.67
11513;5.8
11514;12.25
11515;10.1
11516;6.43
11517;8.35
11518;9.8
11519;10.21
1152;4.77
11520;7.3
11521;4.51
11522;8.14
11523;8.48
11524;8.22
11525;10.85
11526;7.2
11527;6.96
11528;6.95
11529;9.92
1153;5.5
11530;14.3
11531;11.02
11532;11.6
11533;12.5
11534;7.35
11537;6.5
11538;7.66
11539;7.02
1154;16.9
11540;4
11541;6.3
11542;5.86
11543;7.5
11544;5.78
11545;9
11546;8.02
11547;9.42
11548;9.56
11549;10.05
1155;14.03
11550;5.88
11551;8
11552;10.44
11553;10.46
11554;7.26
11555;8
11556;13.58
11557;12.16
11558;12.59
11559;15.4
1156;8.66
11560;5.62
11561;8.7
11562;10.55
11563;8.23
11564;8.04571428571429
11565;14.414
11566;11.6
11567;10.91
11568;6.06
11569;13.2
1157;9.15
11570;13.75
11572;6.66
11573;11.04
11574;11.55
11575;7.37
11576;8.36
11579;5.25
1158;9.53
11580;5.47
11581;12.42
11582;5.56
11583;11.08
11584;66.96
11585;76.48
11586;66.84
11587;6.67
11588;11.6
11589;10.48
1159;12.67
11591;13.15
11592;9.3
11594;16.26
11595;12.55
11596;7.18
11597;8.4
11598;15.45
11599;9.75
116;4.66
1160;5.56
11600;13.65
11601;13.48
11602;8.5
11603;20.19
11604;14.9
11605;4.85
11606;14.2
11607;16.48
11608;12.57
11609;13.73
1161;5.35
11610;3.79
11611;15.33
11612;5.75
11614;14.85
11615;15.45
11616;9.2
11617;44.32
11618;10.58
11619;12.15
1162;4.82
11620;10.9
11621;6.84
11623;11.95
11624;10.5
11625;9.6
11626;8.5
11627;18
11628;12.19
11629;7.95
1163;16.96
11630;20.02
11631;11.55
11632;12.47
11633;11.56
11634;12.49
11635;12.9
11636;18.16
11637;16.91
11638;19.92
11639;13.96
1164;7.68
11640;12.05
11641;11.3
11642;12.05
11643;10.8
11644;8.7
11645;10.13
11646;19.79
11647;7.48
11648;6.9
11649;13.51
1165;4.93
11650;9.37
11651;7.32
11652;10.02
11653;12.22
11654;11.87
11655;6.16
11656;9.85
11657;17.95
11658;17.4
11659;10.5
1166;11.62
11660;18.9
11661;7.92
11662;9.42
11663;12
11664;8.75
11665;14.24
11666;12.22
11667;10.72
11668;25.18
11669;25.18
1167;10.12
11670;25.07
11671;25.4
11672;20.63
11673;26.25
11674;26.4
11675;25.33
11676;28.13
11677;24.08
11678;18.48
11679;8.5
1168;10.06
11680;8.5
11681;17.74
11682;13.7
11683;12.95
11684;17.66
11685;14.02
11686;12.92
11687;19.45
11688;10.68
11689;13.1
1169;4.69
11690;10.13
11691;29.6
11692;27.1
11693;29.32
11694;13.314
11695;14.99
11696;10.55
11697;8.64
11698;10.15
11699;11.61
117;6.22
11700;13.32
11701;11.58
11702;12.38
11703;13.42
11704;10.57
11705;15.72
11706;10.7
11707;8.6
11708;11.4
11709;9.75
1171;14.46
11710;13.71
11711;13.42
11712;8.62
11713;10.44
11714;9.55
11715;33.15
11716;12.245
11717;29.81
11718;25.77
1172;12.4
11720;9.84
11721;9.69
11722;18.65
11723;19.24
11724;10.7
11725;12.68
11726;9.32
11727;22.97
11728;22.99
11729;10.5
1173;13.82
11730;18.36
11731;11.31
11732;17.5
11733;12.8
11734;12.2
11735;9.7
11736;16.62
11737;14.3
11738;12.1
11739;13.76
1174;15.9
11740;13.03
11741;11.7
11742;13.32
11743;14.4
11744;29.81
11745;15.92
11746;13.9
11747;10.13
11748;13.95
11749;11.13
1175;12.12
11750;9.97
11751;10.24
11752;12.2
11753;12.625
11754;12.2
11755;8.2
11756;12.14
11757;10
11758;13.22
11759;11.24
1176;12.24
11760;7.08
11761;15.63
11763;5.95
11764;14.1255555555556
11765;8.12
11766;12.9
11767;4.8
11768;6.41272727272727
1177;20.43
11770;6.43
11771;13.1
11772;14.74
11773;6.85
11774;8.74
11775;7.52
11776;5.87
11777;5.5
11778;5.71
11779;5.98
1178;13.35
11780;5.95
11781;7.05
11782;7.69
11783;5.4
11784;6.75
11785;5.42
11786;6.03
11787;6.95
11788;5.98
11789;5.25
1179;13.5
11790;6.02
11791;5.87285714285714
11792;5.658
11793;6.85
11794;6.22
11795;6.54
11796;5.65
11797;6.68
11798;6.98
11799;5.908
118;6.68
1180;12.5
11800;5.92
11801;6.3
11802;6.09
11803;6.66
11804;5.9
11805;7.22
11806;7.26
11808;6.43
11809;5.7
1181;14.65
11810;5.05
11811;6.63
11812;5.84
11813;6.864
11814;6.25
11815;7.4
11816;5.95
11817;6.75
11818;6.44
11819;5.55
1182;4
11820;6.75
11821;7.15444444444444
11822;5.87
11823;6.06727272727273
11824;7.06
11825;6.4
11826;6.48
11827;6.1
11828;5.98
11829;6.5
1183;14.11
11830;6.7
11831;5.76
11832;7.3
11833;5.95
11834;7.83571428571429
11835;9.1
11836;8.9
11837;7.75
11838;7.03
11839;7.76
1184;17.65
11840;9.16
11841;7.39
11842;8.85
11843;8
11844;8.3
11845;6.97
11846;8.39
11847;8.76
11848;7.62
11849;7.71
1185;14
11850;5.1
11851;7.14
11852;7.3
11853;14.67
11854;11.38
11855;11.9
11856;7.7
11857;6.68
11858;7.98
11859;7.36
1186;12.84
11860;6.78
11861;11.35
11862;7.3
11863;7.74
11864;7.12
11865;6.35
11866;7.42
11867;8.81
11869;6.98
1187;14.25
11870;6.98
11871;6.53
11872;7.34
11873;7.12
11874;13.7554545454545
11875;7.1
11876;6.75
11877;6.54
11878;8.55
11879;7.62
1188;18.1
11880;10.16
11881;6.55
11882;6.6
11883;7.95
11884;7.55
11885;7.88
11886;10.72
11887;6.85
11888;7.87
11889;7.79
1189;13.96
11890;8.12
11891;8.04
11892;7.38
11893;7.72
